id,generador,pid,nombreProducto,precio,stock
47,4,7270,Monitor 24",9355.80,260
6,0,7266,Monitor 24",9278.54,56
66,6,7272,Teclado Mecanico,23461.83,163
38,3,7269,Auriculares BT,4940.51,424
77,7,7273,Webcam 1080p,25650.12,334
25,2,7268,Microfono USB,5042.08,132
58,5,7271,Notebook 15",17711.81,267
78,7,7273,Notebook 15",9936.74,488
17,1,7267,SSD NVMe 1TB,3495.77,127
39,3,7269,Motherboard AM5,23042.44,242
48,4,7270,SSD NVMe 1TB,19921.18,296
59,5,7271,GPU RTX 4060,9901.90,31
26,2,7268,SSD NVMe 1TB,30569.78,262
7,0,7266,Motherboard AM5,28227.45,425
67,6,7272,Fuente 650W 80+,10319.46,152
18,1,7267,Pad Mouse XL,28364.91,329
27,2,7268,Motherboard AM5,4489.56,454
19,1,7267,Webcam 1080p,27240.63,53
79,7,7273,Fuente 650W 80+,24283.03,132
40,3,7269,Pad Mouse XL,15798.25,419
8,0,7266,Auriculares BT,29152.79,388
68,6,7272,Auriculares BT,8828.93,412
28,2,7268,Motherboard AM5,7096.73,319
69,6,7272,Notebook 15",25256.07,195
60,5,7271,Fuente 650W 80+,19644.64,284
81,3,7269,Auriculares BT,5960.66,336
49,4,7270,Mouse Gamer,7410.15,74
20,1,7267,Memoria 16GB,13204.08,51
80,7,7273,GPU RTX 4060,28208.70,412
91,5,7271,Router WiFi 6,15305.81,384
70,6,7272,Memoria 16GB,13487.03,300
9,0,7266,Router WiFi 6,23072.23,222
29,2,7268,GPU RTX 4060,14712.57,135
30,2,7268,SSD NVMe 1TB,13903.17,150
50,4,7270,Notebook 15",18279.24,284
101,1,7267,Memoria 16GB,1336.21,151
82,3,7269,Notebook 15",9097.44,271
111,7,7273,Router WiFi 6,17700.30,164
10,0,7266,Webcam 1080p,12495.73,426
92,5,7271,Pad Mouse XL,30986.80,201
121,4,7270,Pad Mouse XL,4707.51,235
131,6,7272,Silla Gamer,27575.75,354
83,3,7269,Monitor 24",28570.19,177
141,2,7268,Notebook 15",1138.30,191
112,7,7273,SSD NVMe 1TB,6649.30,287
132,6,7272,Pad Mouse XL,18941.19,263
122,4,7270,Teclado Mecanico,18402.10,308
102,1,7267,Mouse Gamer,22198.15,357
93,5,7271,Monitor 24",5243.04,172
151,0,7266,Teclado Mecanico,25180.69,477
133,6,7272,Monitor 24",23340.06,99
142,2,7268,Microfono USB,4663.24,395
103,1,7267,GPU RTX 4060,1175.54,296
94,5,7271,Microfono USB,8759.96,464
113,7,7273,Motherboard AM5,1458.89,115
123,4,7270,Microfono USB,25751.55,179
143,2,7268,Monitor 24",29732.36,340
134,6,7272,Mouse Gamer,9912.30,219
84,3,7269,GPU RTX 4060,26971.43,49
152,0,7266,Auriculares BT,30754.61,154
114,7,7273,Memoria 16GB,9813.23,438
144,2,7268,SSD NVMe 1TB,11709.85,377
115,7,7273,GPU RTX 4060,18920.01,89
95,5,7271,Motherboard AM5,7076.24,453
104,1,7267,Teclado Mecanico,27946.01,487
124,4,7270,Webcam 1080p,19393.72,392
85,3,7269,Teclado Mecanico,18238.03,150
135,6,7272,Notebook 15",13156.94,165
145,2,7268,Mouse Gamer,26879.65,340
153,0,7266,Motherboard AM5,17660.54,319
105,1,7267,GPU RTX 4060,9943.37,168
96,5,7271,Router WiFi 6,7124.49,328
146,2,7268,Router WiFi 6,18116.09,157
106,1,7267,Silla Gamer,5329.98,204
125,4,7270,Silla Gamer,12745.11,255
116,7,7273,Motherboard AM5,10342.09,292
136,6,7272,Fuente 650W 80+,29011.12,154
97,5,7271,GPU RTX 4060,4704.59,258
154,0,7266,Notebook 15",21293.70,335
107,1,7267,Microfono USB,18508.14,450
147,2,7268,Motherboard AM5,3552.66,44
126,4,7270,SSD NVMe 1TB,9255.39,144
86,3,7269,Mouse Gamer,14923.95,53
98,5,7271,Router WiFi 6,11620.12,230
87,3,7269,SSD NVMe 1TB,7285.82,232
127,4,7270,Router WiFi 6,25175.39,448
155,0,7266,Mouse Gamer,12857.65,168
137,6,7272,GPU RTX 4060,2538.72,425
108,1,7267,SSD NVMe 1TB,21386.72,62
117,7,7273,Auriculares BT,3974.33,323
99,5,7271,Monitor 24",5077.46,211
148,2,7268,Router WiFi 6,8454.27,457
88,3,7269,Memoria 16GB,7239.48,165
128,4,7270,Teclado Mecanico,10704.81,262
156,0,7266,Router WiFi 6,27694.16,412
138,6,7272,GPU RTX 4060,28106.37,57
109,1,7267,Router WiFi 6,20403.96,9
118,7,7273,Pad Mouse XL,13774.39,412
100,5,7271,Memoria 16GB,5008.01,107
149,2,7268,Fuente 650W 80+,16231.92,137
89,3,7269,Microfono USB,27520.63,395
129,4,7270,SSD NVMe 1TB,28721.16,316
157,0,7266,Pad Mouse XL,2372.92,430
139,6,7272,Monitor 24",21265.66,118
110,1,7267,Silla Gamer,6963.68,462
119,7,7273,Webcam 1080p,2274.09,86
161,5,7271,GPU RTX 4060,30598.97,325
150,2,7268,Pad Mouse XL,10786.94,209
90,3,7269,Microfono USB,16513.02,360
130,4,7270,Mouse Gamer,5406.31,157
158,0,7266,Notebook 15",3823.85,88
140,6,7272,Webcam 1080p,24839.08,196
171,1,7267,Fuente 650W 80+,12450.16,189
120,7,7273,SSD NVMe 1TB,29609.61,477
162,5,7271,Memoria 16GB,26293.29,134
181,2,7268,Router WiFi 6,24563.21,462
191,3,7269,SSD NVMe 1TB,8619.91,372
201,4,7270,Mouse Gamer,20207.85,294
159,0,7266,Mouse Gamer,19961.02,16
211,6,7272,Webcam 1080p,30557.60,389
172,1,7267,Motherboard AM5,22022.20,455
221,7,7273,GPU RTX 4060,16829.57,455
163,5,7271,Teclado Mecanico,30415.83,181
182,2,7268,Notebook 15",26736.19,432
192,3,7269,Pad Mouse XL,16333.03,244
202,4,7270,Fuente 650W 80+,26521.53,136
160,0,7266,Monitor 24",7581.78,206
212,6,7272,GPU RTX 4060,5593.14,281
173,1,7267,SSD NVMe 1TB,8115.92,124
222,7,7273,Router WiFi 6,25674.73,406
164,5,7271,Motherboard AM5,4086.65,94
183,2,7268,Notebook 15",8766.52,94
193,3,7269,Monitor 24",21435.53,93
203,4,7270,Pad Mouse XL,16222.98,384
231,0,7266,Pad Mouse XL,24873.13,275
213,6,7272,Teclado Mecanico,18375.14,468
174,1,7267,GPU RTX 4060,2660.32,488
223,7,7273,SSD NVMe 1TB,16847.74,426
165,5,7271,Motherboard AM5,3806.95,201
184,2,7268,Fuente 650W 80+,23435.23,179
194,3,7269,Teclado Mecanico,1248.43,159
204,4,7270,Motherboard AM5,11540.17,31
232,0,7266,GPU RTX 4060,19482.28,358
214,6,7272,Memoria 16GB,18771.80,150
175,1,7267,Silla Gamer,3440.63,347
224,7,7273,Silla Gamer,6352.82,7
166,5,7271,Pad Mouse XL,16021.68,371
185,2,7268,SSD NVMe 1TB,20298.45,359
195,3,7269,Teclado Mecanico,11030.15,126
205,4,7270,Fuente 650W 80+,12197.40,254
233,0,7266,Silla Gamer,5345.69,368
215,6,7272,Auriculares BT,17358.18,495
176,1,7267,Auriculares BT,3929.23,346
225,7,7273,Webcam 1080p,19199.14,258
167,5,7271,Notebook 15",5598.96,151
186,2,7268,SSD NVMe 1TB,12460.89,347
196,3,7269,Mouse Gamer,26131.68,335
206,4,7270,Memoria 16GB,22187.28,430
234,0,7266,Router WiFi 6,10272.21,340
216,6,7272,Teclado Mecanico,12904.20,304
177,1,7267,GPU RTX 4060,19165.74,138
226,7,7273,Silla Gamer,21808.69,191
168,5,7271,Auriculares BT,11962.76,368
187,2,7268,Microfono USB,4327.07,201
197,3,7269,Silla Gamer,18499.33,428
207,4,7270,Pad Mouse XL,21137.57,385
235,0,7266,GPU RTX 4060,6450.21,483
217,6,7272,Mouse Gamer,8969.94,485
178,1,7267,Auriculares BT,11133.22,325
227,7,7273,Memoria 16GB,16880.88,410
169,5,7271,Memoria 16GB,16291.80,149
188,2,7268,Auriculares BT,26780.61,0
198,3,7269,Webcam 1080p,26354.66,295
208,4,7270,Router WiFi 6,20458.88,219
236,0,7266,Monitor 24",26154.37,475
218,6,7272,Fuente 650W 80+,18742.24,65
179,1,7267,Silla Gamer,24871.32,220
228,7,7273,Pad Mouse XL,18158.70,140
170,5,7271,Mouse Gamer,13439.36,170
189,2,7268,Pad Mouse XL,3400.72,161
199,3,7269,SSD NVMe 1TB,30185.83,253
209,4,7270,Silla Gamer,3591.81,422
237,0,7266,Notebook 15",30357.30,419
219,6,7272,Router WiFi 6,11192.68,306
180,1,7267,Microfono USB,19392.31,106
229,7,7273,Auriculares BT,8874.62,268
241,5,7271,Fuente 650W 80+,1960.89,280
190,2,7268,Webcam 1080p,14205.94,35
200,3,7269,Monitor 24",3590.52,63
210,4,7270,Auriculares BT,22647.85,239
238,0,7266,Monitor 24",29554.58,356
220,6,7272,Fuente 650W 80+,14122.17,2
251,1,7267,Router WiFi 6,22487.28,293
230,7,7273,Teclado Mecanico,13847.45,472
242,5,7271,Notebook 15",27858.44,353
261,2,7268,Monitor 24",9260.59,351
271,3,7269,Motherboard AM5,19061.50,24
281,4,7270,Memoria 16GB,19484.20,92
239,0,7266,Notebook 15",20460.55,17
291,6,7272,Monitor 24",8567.24,185
252,1,7267,Router WiFi 6,24167.81,267
301,7,7273,Auriculares BT,16828.07,253
243,5,7271,Auriculares BT,19130.81,382
262,2,7268,Auriculares BT,3143.44,281
272,3,7269,Silla Gamer,25037.53,486
282,4,7270,Auriculares BT,18352.63,366
240,0,7266,Silla Gamer,24585.61,341
292,6,7272,Webcam 1080p,30060.39,121
253,1,7267,Webcam 1080p,16111.92,398
302,7,7273,SSD NVMe 1TB,12953.10,472
244,5,7271,Notebook 15",2713.80,418
263,2,7268,SSD NVMe 1TB,24043.59,496
273,3,7269,Webcam 1080p,8370.51,72
283,4,7270,Memoria 16GB,19395.54,461
311,0,7266,Teclado Mecanico,1656.19,463
293,6,7272,SSD NVMe 1TB,19037.42,310
254,1,7267,Webcam 1080p,26163.59,130
303,7,7273,GPU RTX 4060,6342.01,50
245,5,7271,Microfono USB,4656.77,401
264,2,7268,Monitor 24",1580.29,465
274,3,7269,Mouse Gamer,3185.06,292
284,4,7270,Motherboard AM5,14628.39,174
312,0,7266,Auriculares BT,8908.83,119
294,6,7272,Auriculares BT,2514.38,196
255,1,7267,Silla Gamer,13477.63,271
304,7,7273,GPU RTX 4060,15058.55,83
246,5,7271,GPU RTX 4060,24414.58,287
265,2,7268,Microfono USB,4242.49,466
275,3,7269,Pad Mouse XL,15918.54,426
285,4,7270,Monitor 24",14909.54,167
313,0,7266,Mouse Gamer,2595.71,393
295,6,7272,Router WiFi 6,13983.52,187
256,1,7267,Motherboard AM5,18971.80,204
305,7,7273,Teclado Mecanico,7266.89,98
247,5,7271,GPU RTX 4060,6746.98,432
266,2,7268,Auriculares BT,6133.42,131
276,3,7269,Motherboard AM5,23939.68,400
286,4,7270,Silla Gamer,22182.33,208
314,0,7266,Router WiFi 6,11774.00,330
296,6,7272,Webcam 1080p,25614.48,270
257,1,7267,Microfono USB,26998.67,280
306,7,7273,Notebook 15",13562.68,224
248,5,7271,Pad Mouse XL,28413.56,442
267,2,7268,Teclado Mecanico,28778.57,354
277,3,7269,Monitor 24",18762.05,452
287,4,7270,Pad Mouse XL,26652.76,443
315,0,7266,GPU RTX 4060,15373.95,70
297,6,7272,Silla Gamer,10900.92,341
258,1,7267,Monitor 24",18823.92,1
307,7,7273,Mouse Gamer,19627.80,135
249,5,7271,Motherboard AM5,30008.52,232
268,2,7268,Notebook 15",20905.77,168
278,3,7269,Auriculares BT,11439.06,193
288,4,7270,Motherboard AM5,26082.53,357
316,0,7266,Silla Gamer,17795.82,92
298,6,7272,Pad Mouse XL,27935.87,274
259,1,7267,Teclado Mecanico,9888.34,278
308,7,7273,Motherboard AM5,21778.31,188
250,5,7271,Motherboard AM5,22231.89,269
269,2,7268,Silla Gamer,10764.91,268
279,3,7269,Mouse Gamer,7551.08,361
289,4,7270,Monitor 24",12576.54,244
317,0,7266,Microfono USB,9774.26,312
299,6,7272,Mouse Gamer,27214.45,470
260,1,7267,Teclado Mecanico,12983.64,40
309,7,7273,Memoria 16GB,29558.94,49
321,5,7271,Motherboard AM5,26217.31,419
270,2,7268,GPU RTX 4060,11701.59,298
280,3,7269,Fuente 650W 80+,25635.23,453
290,4,7270,Silla Gamer,29846.40,69
318,0,7266,Memoria 16GB,27392.96,394
300,6,7272,Motherboard AM5,20427.69,445
331,1,7267,Microfono USB,23131.27,162
310,7,7273,Auriculares BT,17751.60,335
322,5,7271,Auriculares BT,12393.48,118
341,2,7268,Monitor 24",12996.48,192
351,3,7269,Notebook 15",25786.27,47
361,4,7270,Pad Mouse XL,13400.84,449
319,0,7266,Microfono USB,2784.20,82
371,6,7272,Webcam 1080p,9637.20,367
332,1,7267,Memoria 16GB,5573.17,303
381,7,7273,Pad Mouse XL,2146.18,417
323,5,7271,Memoria 16GB,12832.05,47
342,2,7268,Silla Gamer,16080.87,292
352,3,7269,Monitor 24",10614.48,21
362,4,7270,Silla Gamer,17857.89,498
320,0,7266,Silla Gamer,29381.79,223
372,6,7272,Silla Gamer,22766.01,224
333,1,7267,Motherboard AM5,5653.36,320
382,7,7273,Router WiFi 6,15360.22,275
324,5,7271,Notebook 15",21937.53,322
343,2,7268,Silla Gamer,28228.39,266
353,3,7269,Motherboard AM5,16901.05,88
363,4,7270,Pad Mouse XL,24671.61,286
391,0,7266,GPU RTX 4060,9452.14,150
373,6,7272,GPU RTX 4060,29166.07,467
334,1,7267,Monitor 24",7479.41,121
383,7,7273,Memoria 16GB,25713.58,280
325,5,7271,Mouse Gamer,4785.58,418
344,2,7268,Monitor 24",3829.33,140
354,3,7269,Teclado Mecanico,9813.90,124
364,4,7270,Mouse Gamer,7603.29,236
392,0,7266,Pad Mouse XL,29083.57,264
374,6,7272,Router WiFi 6,17697.47,166
335,1,7267,Memoria 16GB,10025.81,297
384,7,7273,SSD NVMe 1TB,20213.19,183
326,5,7271,Auriculares BT,2304.33,300
345,2,7268,Teclado Mecanico,24856.85,350
355,3,7269,Motherboard AM5,30517.90,4
365,4,7270,Webcam 1080p,16470.63,32
393,0,7266,Microfono USB,8776.24,81
375,6,7272,Notebook 15",4128.88,357
336,1,7267,Silla Gamer,14796.79,408
385,7,7273,Pad Mouse XL,16834.69,488
327,5,7271,Mouse Gamer,24018.52,102
346,2,7268,Pad Mouse XL,12986.97,303
356,3,7269,Mouse Gamer,4322.18,52
366,4,7270,Monitor 24",4942.71,163
394,0,7266,Pad Mouse XL,22348.71,365
376,6,7272,Teclado Mecanico,6123.29,142
337,1,7267,Mouse Gamer,15617.73,45
386,7,7273,Teclado Mecanico,25663.60,477
328,5,7271,Silla Gamer,7906.60,221
347,2,7268,Memoria 16GB,8521.09,281
357,3,7269,Silla Gamer,18230.97,478
367,4,7270,Teclado Mecanico,24754.36,91
395,0,7266,Monitor 24",14689.19,349
377,6,7272,Pad Mouse XL,29705.49,289
338,1,7267,Memoria 16GB,20227.21,173
387,7,7273,Motherboard AM5,10701.83,259
329,5,7271,Webcam 1080p,7496.68,104
348,2,7268,GPU RTX 4060,22823.73,104
358,3,7269,Motherboard AM5,28591.76,246
368,4,7270,Mouse Gamer,25038.16,294
396,0,7266,Monitor 24",4342.22,115
378,6,7272,Webcam 1080p,26061.39,296
339,1,7267,Teclado Mecanico,15665.93,39
388,7,7273,Pad Mouse XL,29971.06,79
330,5,7271,Auriculares BT,28381.80,138
349,2,7268,Microfono USB,20224.42,429
359,3,7269,SSD NVMe 1TB,2762.03,290
369,4,7270,Microfono USB,30855.23,90
397,0,7266,Microfono USB,23705.47,13
379,6,7272,Mouse Gamer,29205.73,3
340,1,7267,Microfono USB,20850.33,211
389,7,7273,Microfono USB,3348.62,415
401,5,7271,Silla Gamer,17295.16,343
350,2,7268,Webcam 1080p,11660.63,185
360,3,7269,Webcam 1080p,14856.02,183
370,4,7270,Router WiFi 6,28816.10,399
398,0,7266,Mouse Gamer,14637.20,462
380,6,7272,SSD NVMe 1TB,19682.90,492
411,1,7267,Webcam 1080p,4193.07,337
390,7,7273,Pad Mouse XL,25592.35,222
402,5,7271,SSD NVMe 1TB,9784.44,5
421,2,7268,SSD NVMe 1TB,28055.77,388
431,3,7269,SSD NVMe 1TB,26699.63,237
441,4,7270,Monitor 24",12691.61,44
399,0,7266,Pad Mouse XL,29716.36,159
451,6,7272,Motherboard AM5,16738.52,299
412,1,7267,Teclado Mecanico,2457.65,335
461,7,7273,Mouse Gamer,3017.47,63
403,5,7271,Silla Gamer,29471.75,257
422,2,7268,GPU RTX 4060,3175.21,316
432,3,7269,Teclado Mecanico,16256.44,465
442,4,7270,Notebook 15",9783.59,239
400,0,7266,Teclado Mecanico,7708.57,402
452,6,7272,Webcam 1080p,11184.16,144
413,1,7267,Pad Mouse XL,29961.71,268
462,7,7273,Auriculares BT,19341.93,342
404,5,7271,Teclado Mecanico,25369.54,310
423,2,7268,Notebook 15",23200.51,96
433,3,7269,Fuente 650W 80+,9824.89,421
443,4,7270,Auriculares BT,22644.95,75
471,0,7266,SSD NVMe 1TB,7442.80,409
453,6,7272,Fuente 650W 80+,11884.60,461
414,1,7267,Mouse Gamer,27784.01,271
463,7,7273,Microfono USB,27319.19,405
405,5,7271,Webcam 1080p,2825.07,1
424,2,7268,Memoria 16GB,27630.93,284
434,3,7269,SSD NVMe 1TB,30648.33,36
444,4,7270,Monitor 24",15504.86,202
472,0,7266,Mouse Gamer,12545.43,63
454,6,7272,Pad Mouse XL,8957.38,197
415,1,7267,Teclado Mecanico,18946.48,412
464,7,7273,Auriculares BT,14707.22,384
406,5,7271,Fuente 650W 80+,19977.09,442
425,2,7268,Fuente 650W 80+,25165.04,20
435,3,7269,Microfono USB,14962.39,111
445,4,7270,Motherboard AM5,12797.91,116
473,0,7266,Pad Mouse XL,2072.62,170
455,6,7272,Fuente 650W 80+,24351.80,65
416,1,7267,Fuente 650W 80+,29750.48,196
465,7,7273,Router WiFi 6,21521.21,416
407,5,7271,Silla Gamer,13703.06,194
426,2,7268,Pad Mouse XL,17952.13,373
436,3,7269,Mouse Gamer,15414.13,314
446,4,7270,Fuente 650W 80+,9479.12,127
474,0,7266,Mouse Gamer,30004.00,198
456,6,7272,Notebook 15",23260.37,301
417,1,7267,Mouse Gamer,21875.80,115
466,7,7273,Memoria 16GB,24989.05,213
408,5,7271,Monitor 24",9042.14,456
427,2,7268,Motherboard AM5,26883.28,246
437,3,7269,Microfono USB,23647.51,7
447,4,7270,Webcam 1080p,9039.23,236
475,0,7266,Auriculares BT,24370.69,491
457,6,7272,Teclado Mecanico,5722.57,296
418,1,7267,Memoria 16GB,23622.70,210
467,7,7273,Motherboard AM5,22360.58,290
409,5,7271,Teclado Mecanico,1237.76,14
428,2,7268,Memoria 16GB,5919.74,366
438,3,7269,Webcam 1080p,10628.72,456
448,4,7270,Memoria 16GB,24166.38,287
476,0,7266,Pad Mouse XL,9391.89,61
458,6,7272,SSD NVMe 1TB,21771.20,442
419,1,7267,Microfono USB,27874.22,307
468,7,7273,Router WiFi 6,28047.86,185
410,5,7271,Notebook 15",29986.47,53
429,2,7268,Notebook 15",5735.84,411
439,3,7269,Auriculares BT,21337.62,83
449,4,7270,Notebook 15",6140.62,87
477,0,7266,Router WiFi 6,28813.50,121
459,6,7272,Fuente 650W 80+,22842.37,191
420,1,7267,Teclado Mecanico,26278.99,142
469,7,7273,Webcam 1080p,24094.31,23
481,5,7271,Pad Mouse XL,10780.82,377
430,2,7268,Teclado Mecanico,7480.78,257
440,3,7269,Silla Gamer,11909.16,354
450,4,7270,Notebook 15",30977.58,262
478,0,7266,Microfono USB,2427.67,455
460,6,7272,Silla Gamer,4260.83,426
491,1,7267,Teclado Mecanico,23818.09,232
470,7,7273,Notebook 15",18787.07,264
482,5,7271,Notebook 15",25863.84,45
501,2,7268,Microfono USB,16435.17,429
511,3,7269,Auriculares BT,21599.58,9
521,4,7270,Pad Mouse XL,25807.64,106
479,0,7266,Pad Mouse XL,5295.81,388
531,6,7272,Monitor 24",8959.11,458
492,1,7267,Teclado Mecanico,17129.37,209
541,7,7273,Pad Mouse XL,14261.15,21
483,5,7271,Notebook 15",5915.18,385
502,2,7268,Mouse Gamer,16784.64,263
512,3,7269,Memoria 16GB,9957.62,485
522,4,7270,Webcam 1080p,24236.26,464
480,0,7266,Pad Mouse XL,25435.80,326
532,6,7272,Webcam 1080p,13495.62,154
493,1,7267,Router WiFi 6,14623.93,0
542,7,7273,Microfono USB,12080.56,297
484,5,7271,Monitor 24",25588.14,152
503,2,7268,Silla Gamer,9749.80,286
513,3,7269,Memoria 16GB,24197.40,479
523,4,7270,Microfono USB,25868.60,348
551,0,7266,Fuente 650W 80+,5969.96,347
533,6,7272,Auriculares BT,23126.26,87
494,1,7267,Memoria 16GB,27212.62,129
543,7,7273,Motherboard AM5,10211.61,128
485,5,7271,GPU RTX 4060,3346.43,453
504,2,7268,Mouse Gamer,15585.62,422
514,3,7269,Memoria 16GB,11140.37,372
524,4,7270,Microfono USB,20803.48,431
552,0,7266,Memoria 16GB,21490.95,245
534,6,7272,Monitor 24",25256.48,40
495,1,7267,Auriculares BT,18963.37,397
544,7,7273,Mouse Gamer,15482.07,461
486,5,7271,Microfono USB,26194.03,120
505,2,7268,Microfono USB,23949.56,173
515,3,7269,Router WiFi 6,23357.03,108
525,4,7270,Memoria 16GB,20211.80,143
553,0,7266,Webcam 1080p,16148.41,125
535,6,7272,Microfono USB,9821.02,322
496,1,7267,Pad Mouse XL,30041.97,237
545,7,7273,GPU RTX 4060,22794.74,145
487,5,7271,Pad Mouse XL,3084.22,458
506,2,7268,Monitor 24",13284.57,196
516,3,7269,Router WiFi 6,26798.73,215
526,4,7270,Teclado Mecanico,21253.75,281
554,0,7266,Webcam 1080p,19501.31,484
536,6,7272,GPU RTX 4060,17282.31,113
497,1,7267,Fuente 650W 80+,2562.70,317
546,7,7273,Auriculares BT,4963.45,136
488,5,7271,Webcam 1080p,3452.15,18
507,2,7268,Webcam 1080p,18779.74,446
517,3,7269,Microfono USB,17897.14,487
527,4,7270,Pad Mouse XL,17048.93,89
555,0,7266,Webcam 1080p,27212.07,131
537,6,7272,Fuente 650W 80+,10009.60,283
498,1,7267,Fuente 650W 80+,6688.57,238
547,7,7273,Notebook 15",16382.23,279
489,5,7271,Silla Gamer,23076.74,274
508,2,7268,Pad Mouse XL,30891.67,89
518,3,7269,Webcam 1080p,20737.54,282
528,4,7270,Motherboard AM5,6416.11,412
556,0,7266,Motherboard AM5,5209.06,416
538,6,7272,Router WiFi 6,15677.96,100
499,1,7267,Webcam 1080p,11862.18,153
548,7,7273,Microfono USB,29567.75,105
490,5,7271,Mouse Gamer,20900.18,361
509,2,7268,GPU RTX 4060,6444.98,269
519,3,7269,Fuente 650W 80+,4358.18,13
529,4,7270,Silla Gamer,12806.01,11
557,0,7266,Silla Gamer,20230.72,273
539,6,7272,Router WiFi 6,15877.24,162
500,1,7267,Teclado Mecanico,7357.08,365
549,7,7273,Router WiFi 6,27668.98,148
561,5,7271,Auriculares BT,27931.28,287
510,2,7268,Pad Mouse XL,26614.88,252
520,3,7269,Router WiFi 6,11136.67,452
530,4,7270,Microfono USB,30336.03,194
558,0,7266,Fuente 650W 80+,27071.86,407
540,6,7272,Mouse Gamer,5737.22,494
571,1,7267,Silla Gamer,19788.69,242
550,7,7273,Fuente 650W 80+,14636.30,183
562,5,7271,Router WiFi 6,12485.90,497
581,2,7268,SSD NVMe 1TB,14854.14,168
591,3,7269,Microfono USB,11398.70,372
601,4,7270,Teclado Mecanico,12372.32,463
559,0,7266,Motherboard AM5,28974.29,98
611,6,7272,Monitor 24",5995.06,178
572,1,7267,Mouse Gamer,14094.81,39
621,7,7273,Webcam 1080p,1083.69,324
563,5,7271,Memoria 16GB,7636.32,301
582,2,7268,Monitor 24",20024.85,275
592,3,7269,Microfono USB,20112.48,364
602,4,7270,Silla Gamer,16088.13,172
560,0,7266,Notebook 15",16376.47,120
612,6,7272,Pad Mouse XL,26176.44,189
573,1,7267,GPU RTX 4060,8915.75,492
622,7,7273,Microfono USB,7981.56,276
564,5,7271,Router WiFi 6,5184.66,381
583,2,7268,Webcam 1080p,12119.19,360
593,3,7269,Monitor 24",28069.82,160
603,4,7270,Teclado Mecanico,23123.65,432
631,0,7266,Pad Mouse XL,16339.01,480
613,6,7272,Auriculares BT,17899.01,99
574,1,7267,Auriculares BT,4944.79,338
623,7,7273,Motherboard AM5,29840.84,131
565,5,7271,GPU RTX 4060,2075.26,200
584,2,7268,Memoria 16GB,25180.97,319
594,3,7269,GPU RTX 4060,5657.10,210
604,4,7270,Notebook 15",1571.37,214
632,0,7266,Microfono USB,20322.83,494
614,6,7272,Pad Mouse XL,15904.29,262
575,1,7267,Teclado Mecanico,1932.34,72
624,7,7273,Router WiFi 6,11254.60,51
566,5,7271,Notebook 15",9104.43,260
585,2,7268,Memoria 16GB,13390.11,59
595,3,7269,Motherboard AM5,25412.02,74
605,4,7270,Notebook 15",1790.05,100
633,0,7266,GPU RTX 4060,6430.15,108
615,6,7272,Webcam 1080p,17389.52,195
576,1,7267,Webcam 1080p,17672.09,154
625,7,7273,Teclado Mecanico,6381.00,124
567,5,7271,Router WiFi 6,4608.93,322
586,2,7268,Notebook 15",28062.82,188
596,3,7269,SSD NVMe 1TB,30320.82,104
606,4,7270,Monitor 24",22074.08,36
634,0,7266,Motherboard AM5,22831.92,52
616,6,7272,Notebook 15",8617.12,360
577,1,7267,Auriculares BT,13182.29,154
626,7,7273,Motherboard AM5,9622.57,403
